OBJECTID,GEOL_CODE,GEOL_CODE_INT,GERMAN
1,Runc309001,14509001,mit Löss
2,Runc309002,14509002,mit Lösslehm
3,Runc309003,14509003,mit Seekreide
4,Runc309004,14509004,mit Blöcken
5,Runc309005,14509005,mit alpinen Geröllen
6,Runc309006,14509006,mit Block- und Geschiebestreu
7,Runc309007,14509007,mit Blockschutt vermischt
8,Runc309008,14509008,mit Hangschutt vermischt
9,Runc309009,14509009,mit Verwitterungsschutt vermischt
10,Runc309010,14509010,mit Torf
11,Runc309011,14509011,mit jurassischen Geröllen
12,Runc309012,14509012,mit Geröllen aus Vogesen / Schwarzwald
1292,Runc309013,14509013,mit Schieferkohle
